"","artist","year","totalwords","unique","n"
"1","21 Savage",2016,183,123,2
"2","A Boogie Wit Da Hoodie",2017,129,89,8
"3","Ab Soul",2013,209,136,5
"4","Action Bronson",2013,180,133,4
"5","Aminé",2017,166,122,9
"6","Anderson .Paak",2016,190,126,4
"7","Angel Haze",2013,201,132,6
"8","August Alsina",2014,135,86,6
"9","BlocBoy JB",2018,137,81,5
"10","Chance the Rapper",2014,161,106,7
"11","Dave East",2016,377,240,5
"12","DeJ Loaf",2015,173,110,4
"13","Denzel Curry",2016,225,149,7
"14","Desiigner",2016,85,33,5
"15","Dizzy Wright",2013,217,143,5
"16","Fetty Wap",2015,93,66,7
"17","G Herbo",2016,493,275,8
"18","GoldLink",2015,224,145,9
"19","Isaiah Rashad",2014,171,108,7
"20","J.I.D",2018,454,261,7
"21","Jarren Benton",2014,220,146,5
"22","Joey Bada$$",2013,129,98,8
"23","Jon Connor",2014,201,134,3
"24","K Camp",2015,160,104,7
"25","Kamaiyah",2017,161,112,5
"26","Kap G",2017,258,141,6
"27","Kevin Gates",2014,233,143,9
"28","Kodak Black",2016,244,147,6
"29","KYLE",2017,210,135,6
"30","Lil Bibby",2014,207,123,5
"31","Lil Dicky",2016,272,172,9
"32","Lil Durk",2014,262,175,9
"33","Lil Pump",2018,125,86,8
"34","Lil Uzi Vert",2016,268,141,6
"35","Lil Yachty",2016,120,86,4
"36","Logic",2013,210,147,10
"37","MadeinTYO",2017,121,65,7
"38","OG Maco",2015,375,149,6
"39","Playboi Carti",2017,144,78,5
"40","PnB Rock",2017,437,216,4
"41","Raury",2015,256,157,4
"42","Rich Homie Quan",2014,256,186,4
"43","ScHoolboy Q",2013,184,128,6
"44","Shy Glizzy",2015,101,76,7
"45","Ski Mask The Slump God",2018,218,133,7
"46","Smokepurpp",2018,147,77,6
"47","Stefflon Don Freestyle",2018,161,107,3
"48","Tink",2015,270,154,8
"49","Travis Scott",2013,151,113,7
"50","Trinidad James",2013,88,49,5
"51","Trippie Redd",2018,342,183,8
"52","Troy Ave",2014,209,153,7
"53","Ty Dolla $ign",2014,123,82,3
"54","Ugly God",2017,168,116,7
"55","Vic Mensa",2014,95,73,5
"56","Vince Staples",2015,332,215,3
"57","Wifisfuneral",2018,202,118,8
"58","XXXTENTACION",2017,141,105,9
"59","YBN Nahmir",2018,163,100,6
