"","artist","year","totalwords","unique"
"1","21 Savage",2016,183,123
"2","A Boogie Wit Da Hoodie",2017,129,89
"3","Ab Soul",2013,209,136
"4","Action Bronson",2013,180,133
"5","Aminé",2017,166,122
"6","Anderson .Paak",2016,190,126
"7","Angel Haze",2013,201,132
"8","August Alsina",2014,135,86
"9","BlocBoy JB",2018,137,81
"10","Chance the Rapper",2014,161,106
"11","Dave East",2016,377,240
"12","DeJ Loaf",2015,173,110
"13","Denzel Curry",2016,225,149
"14","Desiigner",2016,85,33
"15","Dizzy Wright",2013,217,143
"16","Fetty Wap",2015,93,66
"17","G Herbo",2016,493,275
"18","GoldLink",2015,224,145
"19","Isaiah Rashad",2014,171,108
"20","J.I.D",2018,454,261
"21","Jarren Benton",2014,220,146
"22","Joey Bada$$",2013,129,98
"23","Jon Connor",2014,201,134
"24","K Camp",2015,160,104
"25","Kamaiyah",2017,161,112
"26","Kap G",2017,258,141
"27","Kevin Gates",2014,233,143
"28","Kodak Black",2016,244,147
"29","KYLE",2017,210,135
"30","Lil Bibby",2014,207,123
"31","Lil Dicky",2016,272,172
"32","Lil Durk",2014,262,175
"33","Lil Pump",2018,125,86
"34","Lil Uzi Vert",2016,268,141
"35","Lil Yachty",2016,120,86
"36","Logic",2013,210,147
"37","MadeinTYO",2017,121,65
"38","OG Maco",2015,375,149
"39","Playboi Carti",2017,144,78
"40","PnB Rock",2017,437,216
"41","Raury",2015,256,157
"42","Rich Homie Quan",2014,256,186
"43","ScHoolboy Q",2013,184,128
"44","Shy Glizzy",2015,101,76
"45","Ski Mask The Slump God",2018,218,133
"46","Smokepurpp",2018,147,77
"47","Stefflon Don Freestyle",2018,161,107
"48","Tink",2015,270,154
"49","Travis Scott",2013,151,113
"50","Trinidad James",2013,88,49
"51","Trippie Redd",2018,342,183
"52","Troy Ave",2014,209,153
"53","Ty Dolla $ign",2014,123,82
"54","Ugly God",2017,168,116
"55","Vic Mensa",2014,95,73
"56","Vince Staples",2015,332,215
"57","Wifisfuneral",2018,202,118
"58","XXXTENTACION",2017,141,105
"59","YBN Nahmir",2018,163,100
